Epoch,train_loss,train_acc,val_loss,val_acc
0,1.2753564810407334,38.73626373626374,1.2329860660764906,47.44525547445255
1,1.2212409627610359,47.34432234432234,1.206045601103041,53.46715328467153
2,1.1978728702102883,50.73260073260073,1.184284296300676,54.74452554744526
3,1.1812540586443916,52.93040293040293,1.1639514565467834,58.57664233576642
4,1.1792842391608418,53.937728937728934,1.1573837399482727,57.846715328467155
5,1.168270404788031,55.082417582417584,1.149166464805603,58.57664233576642
6,1.160731934118962,55.815018315018314,1.1396623452504475,59.48905109489051
7,1.1561678181523862,56.959706959706956,1.1476364798016019,57.66423357664234
8,1.1529503075972847,56.776556776556774,1.1372548474205866,60.03649635036496
9,1.148484871007394,57.005494505494504,1.1287971867455378,60.21897810218978
10,1.1454625958981721,57.78388278388278,1.1392785443200006,58.02919708029197
11,1.1431545917538628,58.05860805860806,1.1223078635003831,59.85401459854015
12,1.1397812219633572,58.05860805860806,1.1279714504877727,60.21897810218978
13,1.1302731883698616,59.61538461538461,1.126922282907698,60.21897810218978
14,1.1338482473207556,58.15018315018315,1.1388906240463257,56.934306569343065
