Epoch,train_loss,train_acc,val_loss,val_acc
0,1.2291070551112078,52.74473924977127,1.1627454029189215,62.45421245421245
1,1.1332920720611794,63.44922232387923,1.0913843644989862,65.56776556776556
2,1.0968423978142117,66.6056724611162,1.0709539386961195,65.56776556776556
3,1.0762383134468743,67.61207685269899,1.0425751540395949,71.97802197802197
4,1.0592033431149912,69.44190301921317,1.0367911722924974,75.64102564102564
5,1.0524696845939194,69.03019213174748,1.0110506514708202,75.27472527472527
6,1.0385952211808467,72.96431838975298,0.9923993117279477,74.9084249084249
7,1.0339489751967832,71.31747483989021,1.0041655831866794,75.82417582417582
8,1.0289440137752588,72.09515096065874,1.0003155403667026,74.9084249084249
9,1.0228339209072832,73.69624885635865,0.9865471257103814,75.45787545787546
10,1.0153456226639126,73.87923147301007,0.9855062133736081,78.93772893772893
11,1.015064189399498,74.1537053979872,0.9706114696131812,77.10622710622711
12,1.0084224498790244,73.97072278133577,0.9744939340485467,76.92307692307692
13,1.0038078608720198,75.43458371454712,0.9569862186908722,82.6007326007326
14,1.0005790729453599,76.3494967978042,0.9587713049517738,78.2051282051282
