Epoch,train_loss,train_acc,val_loss,val_acc
0,1.273872719294783,37.37419945105215,1.2500713997417026,35.714285714285715
1,1.2237459265667459,44.55626715462031,1.220592161019643,47.252747252747255
2,1.2033998828003372,49.268069533394325,1.208617349465688,49.08424908424909
3,1.1857898840005847,50.64043915827996,1.1881948444578383,52.93040293040293
4,1.176852354104968,54.34583714547118,1.1694142421086628,55.494505494505496
5,1.1712607853654502,53.5224153705398,1.1610445777575176,57.142857142857146
6,1.1582144844359246,56.312900274473925,1.157678676976098,56.59340659340659
7,1.1524080469988394,57.09057639524245,1.1606798701816134,56.41025641025641
8,1.1470536529154018,57.95974382433669,1.1517263385984633,56.41025641025641
9,1.1503740168999934,57.41079597438243,1.1548893517918057,59.15750915750916
10,1.146746746007947,57.95974382433669,1.1463815801673465,58.24175824175824
11,1.1434403450592705,57.13632204940531,1.14763120147917,57.875457875457876
12,1.1395393333573272,57.95974382433669,1.1487060520384047,56.41025641025641
13,1.1379466609678406,57.502287282708146,1.149391445848677,56.227106227106226
14,1.1301118757413782,59.149130832570904,1.1547495159837935,56.776556776556774
