Epoch,train_loss,train_acc,val_loss,val_acc
0,1.22108144691025,56.12991765782251,1.1763632363743253,65.75091575091575
1,1.1274088059646497,64.77584629460202,1.1365930173132155,66.3003663003663
2,1.097308445667875,66.55992680695334,1.0922047297159831,71.97802197802197
3,1.0684126365012017,69.16742909423604,1.0765755573908489,70.6959706959707
4,1.0577392085738804,70.2195791399817,1.0787303414609697,68.31501831501832
5,1.0421799196713213,71.27172918572735,1.0539419684145186,71.97802197802197
6,1.0369677759598994,71.50045745654162,1.0475365254614089,72.16117216117216
7,1.030380420062853,72.50686184812443,1.039580249124103,72.89377289377289
8,1.0233654310737832,72.41537053979872,1.026774091853036,75.27472527472527
9,1.0186507252679355,74.19945105215004,1.0245661106374528,74.17582417582418
10,1.0173564622367637,73.7419945105215,1.0180778437190585,75.27472527472527
11,1.0044209179670915,75.29734675205856,1.0164684620168474,76.73992673992674
12,1.0025193976319355,76.07502287282708,1.0159182747205098,76.92307692307692
13,0.9996232753214629,75.34309240622142,1.0004987683561113,77.83882783882784
14,0.9954576950142349,75.89204025617566,1.0167668230003781,76.73992673992674
