Epoch,train_loss,train_acc,val_loss,val_acc
0,1.2774416812952014,36.77950594693504,1.220891813437144,34.98168498168498
1,1.2228505248608796,42.497712717291854,1.1894045141008165,51.282051282051285
2,1.199509694956351,49.40530649588289,1.1689091126124065,56.043956043956044
3,1.1804262831591177,52.607502287282706,1.1658613019519382,55.12820512820513
4,1.1751466816750125,53.79688929551693,1.1525680753919814,55.67765567765568
5,1.1647482643956724,53.247941445562674,1.1675416893429227,43.040293040293044
6,1.1634656951047373,53.5224153705398,1.1319984793663025,57.50915750915751
7,1.1545457667198733,55.21500457456542,1.1397040353880987,45.604395604395606
8,1.1526501403338667,56.038426349496795,1.1330908404456244,58.608058608058606
9,1.1523105908131255,56.907593778591036,1.1300006243917677,58.24175824175824
10,1.147818178370379,56.49588289112534,1.1301543249024286,58.05860805860806
11,1.145801596019579,57.0448307410796,1.1248598429891798,58.79120879120879
12,1.141930771910626,56.22140896614822,1.1331629951794941,58.42490842490842
13,1.1419740984405296,57.27355901189387,1.127867963578966,58.608058608058606
14,1.1320449511210124,58.37145471180238,1.1192872722943623,58.97435897435897
